Country,Pollution_Label,Pollution_Index,Pollution_Qualifier
Afghanistan,Air Pollution,"77.23
High",High
Afghanistan,Drinking Water Pollution and Inaccessibility,"61.96
High",High
Afghanistan,Dissatisfaction with Garbage Disposal,"73.84
High",High
Afghanistan,Dirty and Untidy,"68.18
High",High
Afghanistan,Noise and Light Pollution,"56.52
Moderate",Moderate
Afghanistan,Water Pollution,"73.81
High",High
Afghanistan,Dissatisfaction with Spending Time in the City,"75.00
High",High
Afghanistan,Dissatisfaction with Green and Parks in the City,"63.69
High",High
Aland_Islands,Air Pollution,"16.67
Very Low",Very Low
Aland_Islands,Drinking Water Pollution and Inaccessibility,"4.17
Very Low",Very Low
Aland_Islands,Dissatisfaction with Garbage Disposal,"12.50
Very Low",Very Low
Aland_Islands,Dirty and Untidy,"16.67
Very Low",Very Low
Aland_Islands,Noise and Light Pollution,"45.83
Moderate",Moderate
Aland_Islands,Water Pollution,"10.00
Very Low",Very Low
Aland_Islands,Dissatisfaction with Spending Time in the City,"8.33
Very Low",Very Low
Aland_Islands,Dissatisfaction with Green and Parks in the City,"25.00
Low",Low
Albania,Air Pollution,"68.52
High",High
Albania,Drinking Water Pollution and Inaccessibility,"66.94
High",High
Albania,Dissatisfaction with Garbage Disposal,"67.47
High",High
Albania,Dirty and Untidy,"63.62
High",High
Albania,Noise and Light Pollution,"52.80
Moderate",Moderate
Albania,Water Pollution,"67.86
High",High
Albania,Dissatisfaction with Spending Time in the City,"60.31
High",High
Albania,Dissatisfaction with Green and Parks in the City,"63.14
High",High
Alderney,Air Pollution,"0.00
Very Low",Very Low
Alderney,Drinking Water Pollution and Inaccessibility,"12.50
Very Low",Very Low
Alderney,Dissatisfaction with Garbage Disposal,"0.00
Very Low",Very Low
Alderney,Dirty and Untidy,"0.00
Very Low",Very Low
Alderney,Noise and Light Pollution,"0.00
Very Low",Very Low
Alderney,Water Pollution,"0.00
Very Low",Very Low
Alderney,Dissatisfaction with Spending Time in the City,"0.00
Very Low",Very Low
Alderney,Dissatisfaction with Green and Parks in the City,"0.00
Very Low",Very Low
Algeria,Air Pollution,"51.94
Moderate",Moderate
Algeria,Drinking Water Pollution and Inaccessibility,"46.19
Moderate",Moderate
Algeria,Dissatisfaction with Garbage Disposal,"75.52
High",High
Algeria,Dirty and Untidy,"67.96
High",High
Algeria,Noise and Light Pollution,"45.79
Moderate",Moderate
Algeria,Water Pollution,"54.26
Moderate",Moderate
Algeria,Dissatisfaction with Spending Time in the City,"51.46
Moderate",Moderate
Algeria,Dissatisfaction with Green and Parks in the City,"69.50
High",High
American_Samoa,Air Pollution,"50.00
Moderate",Moderate
American_Samoa,Drinking Water Pollution and Inaccessibility,"62.50
High",High
American_Samoa,Dissatisfaction with Garbage Disposal,"75.00
High",High
American_Samoa,Dirty and Untidy,"75.00
High",High
American_Samoa,Noise and Light Pollution,"100.00
Very High",Very High
American_Samoa,Water Pollution,"100.00
Very High",Very High
American_Samoa,Dissatisfaction with Spending Time in the City,"75.00
High",High
American_Samoa,Dissatisfaction with Green and Parks in the City,"62.50
High",High
Andorra,Air Pollution,"26.67
Low",Low
