Country,Pollution_index,Pollution_index_Exp
Afghanistan,84.44,150.47
Aland_Islands,18.05,34.83
Albania,77.27,135.48
Alderney,1.72,8.34
Algeria,63.87,111.15
American_Samoa,78.45,147.14
Andorra,22.98,39.53
Angola,92.07,165.30
Anguilla,?,?
Antigua_And_Barbuda,43.10,116.15
Argentina,50.81,86.60
Armenia,61.80,112.82
Aruba,33.91,64.86
Australia,26.87,43.01
Austria,20.80,33.55
Azerbaijan,72.69,126.94
Bahamas,61.34,105.86
Bahrain,71.00,128.18
Bangladesh,85.18,152.22
Barbados,24.39,48.57
Belarus,44.67,74.29
Belgium,49.28,82.81
Belize,52.80,91.80
Benin,97.41,178.61
Bermuda,14.95,21.73
Bhutan,48.82,82.99
Bolivia,72.41,126.76
Bonaire,?,?
Bosnia_And_Herzegovina,59.62,105.08
Botswana,46.09,79.19
Brazil,52.83,89.76
British_Virgin_Islands,68.10,126.74
Brunei,35.49,62.92
Bulgaria,62.84,113.09
Burkina_Faso,?,?
Burundi,87.84,158.01
Cambodia,76.88,135.37
Cameroon,93.71,169.81
Canada,29.83,48.65
Cape_Verde,81.03,151.40
Cayman_Islands,23.96,43.35
Central_African_Republic,84.83,152.55
Chad,60.56,104.04
Chile,77.36,138.66
China,77.00,139.58
Colombia,62.43,110.01
Comoros,?,?
Cook_Islands,8.62,26.89
Costa_Rica,41.63,70.72
Croatia,31.69,52.02
Cuba,65.82,113.85
Curacao,55.46,105.86
Cyprus,55.69,93.91
Czech_Republic,34.48,56.97
Democratic_Republic_of_the_Congo,83.22,150.67
Denmark,20.73,32.13
Djibouti,64.60,117.29
Dominica,20.69,35.71
Dominican_Republic,73.26,127.74
Ecuador,59.01,100.79
Egypt,82.73,146.87
El_Salvador,75.37,131.71
Equatorial_Guinea,59.85,102.66
Eritrea,15.52,40.84
Estonia,16.89,27.10
Eswatini,32.07,66.91
Ethiopia,73.24,127.89
Falkland_Islands,3.45,19.39
Faroe_Islands,4.93,14.03
Fiji,53.44,91.75
Finland,11.68,19.47
France,43.62,72.85
French_Guiana,37.30,91.23
French_Polynesia,52.30,93.67
French_Southern_Territories,37.70,101.13
Gabon,76.47,142.47
Gambia,61.67,110.74
Georgia,67.73,121.20
Germany,28.88,46.56
Ghana,86.35,154.48
Gibraltar,54.79,101.56
Greece,49.18,85.75
Greenland,77.11,136.78
Grenada,49.18,82.80
Guadeloupe,75.86,164.17
Guam,49.90,89.18
Guatemala,73.47,128.22
Guernsey,11.49,27.36
Guinea,106.67,196.23
Guinea,?,?
Guyana,60.09,106.23
Haiti,94.30,170.78
Honduras,75.52,133.28
Hong_Kong,66.54,118.03
Hungary,46.62,80.64
Iceland,15.96,27.06
India,72.85,127.10
Indonesia,67.97,117.54
Iran,75.22,137.78
Iraq,71.53,124.26
Ireland,34.70,57.54
Isle_Of_Man,18.08,28.32
Israel,56.70,100.39
Italy,53.64,90.97
Ivory_Coast,94.87,171.93
Jamaica,66.31,115.42
Japan,38.59,62.28
Jersey,26.72,41.14
Jordan,77.10,135.73
Kazakhstan,73.11,132.32
Kenya,69.04,120.80
Kiribati,106.90,198.32
Kosovo,67.84,124.18
Kuwait,69.37,122.74
Kyrgyzstan,71.25,132.31
Laos,78.51,139.55
Latvia,30.32,48.87
Lebanon,89.63,160.33
Lesotho,58.62,104.14
Liberia,91.76,165.33
Libya,51.79,89.16
Liechtenstein,6.47,12.76
Lithuania,26.32,42.64
Luxembourg,23.81,36.27
Macao,67.58,118.19
Madagascar,86.87,155.89
Malawi,64.16,116.03
Malaysia,60.94,103.80
Maldives,74.55,131.01
Mali,85.52,157.23
Malta,75.69,132.72
Marshall_Islands,85.63,162.00
Martinique,62.59,113.55
Mauritania,83.05,150.46
Mauritius,54.58,92.82
Mexico,58.48,99.24
Micronesia,71.26,144.78
Moldova,61.33,106.09
Monaco,78.20,140.15
Mongolia,87.82,160.37
Montenegro,44.41,74.50
Montserrat,?,?
Morocco,68.43,118.67
Mozambique,70.35,128.66
Myanmar,89.79,162.20
Namibia,40.72,67.31
Nauru,101.72,189.68
Nepal,83.98,149.30
Netherlands,21.31,33.86
New_Caledonia,59.31,105.44
New_Zealand,26.05,44.27
Nicaragua,60.78,108.95
Niger,63.79,111.35
Nigeria,87.72,156.71
Niue,46.55,109.17
