Country,Pollution_Label,Pollution_Index,Pollution_Qualifier
Afghanistan,Air Pollution,77.23,High
Afghanistan,Drinking Water Pollution and Inaccessibility,61.96,High
Afghanistan,Dissatisfaction with Garbage Disposal,73.84,High
Afghanistan,Dirty and Untidy,68.18,High
Afghanistan,Noise and Light Pollution,56.52,Moderate
Afghanistan,Water Pollution,73.81,High
Afghanistan,Dissatisfaction with Spending Time in the City,75.00,High
Afghanistan,Dissatisfaction with Green and Parks in the City,63.69,High
Aland_Islands,Air Pollution,16.67,Very Low
Aland_Islands,Drinking Water Pollution and Inaccessibility,4.17,Very Low
Aland_Islands,Dissatisfaction with Garbage Disposal,12.50,Very Low
Aland_Islands,Dirty and Untidy,16.67,Very Low
Aland_Islands,Noise and Light Pollution,45.83,Moderate
Aland_Islands,Water Pollution,10.00,Very Low
Aland_Islands,Dissatisfaction with Spending Time in the City,8.33,Very Low
Aland_Islands,Dissatisfaction with Green and Parks in the City,25.00,Low
Albania,Air Pollution,68.52,High
Albania,Drinking Water Pollution and Inaccessibility,66.94,High
Albania,Dissatisfaction with Garbage Disposal,67.47,High
Albania,Dirty and Untidy,63.62,High
Albania,Noise and Light Pollution,52.80,Moderate
Albania,Water Pollution,67.86,High
Albania,Dissatisfaction with Spending Time in the City,60.31,High
Albania,Dissatisfaction with Green and Parks in the City,63.14,High
Alderney,Air Pollution,0.00,Very Low
Alderney,Drinking Water Pollution and Inaccessibility,12.50,Very Low
Alderney,Dissatisfaction with Garbage Disposal,0.00,Very Low
Alderney,Dirty and Untidy,0.00,Very Low
Alderney,Noise and Light Pollution,0.00,Very Low
Alderney,Water Pollution,0.00,Very Low
Alderney,Dissatisfaction with Spending Time in the City,0.00,Very Low
Alderney,Dissatisfaction with Green and Parks in the City,0.00,Very Low
Algeria,Air Pollution,51.94,Moderate
Algeria,Drinking Water Pollution and Inaccessibility,46.19,Moderate
Algeria,Dissatisfaction with Garbage Disposal,75.52,High
Algeria,Dirty and Untidy,67.96,High
Algeria,Noise and Light Pollution,45.79,Moderate
Algeria,Water Pollution,54.26,Moderate
Algeria,Dissatisfaction with Spending Time in the City,51.46,Moderate
Algeria,Dissatisfaction with Green and Parks in the City,69.50,High
American_Samoa,Air Pollution,50.00,Moderate
American_Samoa,Drinking Water Pollution and Inaccessibility,62.50,High
American_Samoa,Dissatisfaction with Garbage Disposal,75.00,High
American_Samoa,Dirty and Untidy,75.00,High
American_Samoa,Noise and Light Pollution,100.00,Very High
American_Samoa,Water Pollution,100.00,Very High
American_Samoa,Dissatisfaction with Spending Time in the City,75.00,High
American_Samoa,Dissatisfaction with Green and Parks in the City,62.50,High
Andorra,Air Pollution,26.67,Low
Andorra,Drinking Water Pollution and Inaccessibility,0.00,Very Low
Andorra,Dissatisfaction with Garbage Disposal,9.38,Very Low
Andorra,Dirty and Untidy,21.88,Low
Andorra,Noise and Light Pollution,25.00,Low
Andorra,Water Pollution,16.67,Very Low
Andorra,Dissatisfaction with Spending Time in the City,14.58,Very Low
Andorra,Dissatisfaction with Green and Parks in the City,27.78,Low
Angola,Air Pollution,78.12,High
Angola,Drinking Water Pollution and Inaccessibility,76.47,High
Angola,Dissatisfaction with Garbage Disposal,85.94,Very High
Angola,Dirty and Untidy,87.50,Very High
Angola,Noise and Light Pollution,63.89,High
Angola,Water Pollution,80.88,Very High
Angola,Dissatisfaction with Spending Time in the City,76.67,High
Angola,Dissatisfaction with Green and Parks in the City,82.81,Very High
Anguilla,Air Pollution,?,
Anguilla,Drinking Water Pollution and Inaccessibility,?,
Anguilla,Dissatisfaction with Garbage Disposal,?,
Anguilla,Dirty and Untidy,?,
Anguilla,Noise and Light Pollution,?,
Anguilla,Water Pollution,?,
Anguilla,Dissatisfaction with Spending Time in the City,?,
Anguilla,Dissatisfaction with Green and Parks in the City,?,
Antigua_And_Barbuda,Air Pollution,0.00,Very Low
Antigua_And_Barbuda,Drinking Water Pollution and Inaccessibility,62.50,High
Antigua_And_Barbuda,Dissatisfaction with Garbage Disposal,75.00,High
Antigua_And_Barbuda,Dirty and Untidy,50.00,Moderate
Antigua_And_Barbuda,Noise and Light Pollution,50.00,Moderate
Antigua_And_Barbuda,Water Pollution,100.00,Very High
Antigua_And_Barbuda,Dissatisfaction with Spending Time in the City,25.00,Low
Antigua_And_Barbuda,Dissatisfaction with Green and Parks in the City,75.00,High
Argentina,Air Pollution,42.30,Moderate
Argentina,Drinking Water Pollution and Inaccessibility,31.19,Low
Argentina,Dissatisfaction with Garbage Disposal,52.00,Moderate
Argentina,Dirty and Untidy,57.20,Moderate
Argentina,Noise and Light Pollution,53.37,Moderate
Argentina,Water Pollution,54.51,Moderate
Argentina,Dissatisfaction with Spending Time in the City,35.77,Low
Argentina,Dissatisfaction with Green and Parks in the City,35.12,Low
Armenia,Air Pollution,65.35,High
Armenia,Drinking Water Pollution and Inaccessibility,21.39,Low
Armenia,Dissatisfaction with Garbage Disposal,62.89,High
Armenia,Dirty and Untidy,57.55,Moderate
Armenia,Noise and Light Pollution,51.58,Moderate
Armenia,Water Pollution,32.42,Low
Armenia,Dissatisfaction with Spending Time in the City,46.94,Moderate
Armenia,Dissatisfaction with Green and Parks in the City,65.16,High
Aruba,Air Pollution,18.75,Very Low
Aruba,Drinking Water Pollution and Inaccessibility,11.36,Very Low
Aruba,Dissatisfaction with Garbage Disposal,52.27,Moderate
Aruba,Dirty and Untidy,50.00,Moderate
Aruba,Noise and Light Pollution,40.00,Moderate
